place,title,time,pay,date
서울 중구,KFC 본사,09:00~18:00,"시급8,720",10분전
경북 경산시,영남대,09:00~24:00,"시급8,720",12분전
경기 안양시,KFC 안양일번가,18:00~01:30,"시급8,720",16분전
대전 유성구,KFC 유성온천,11:00~24:00,"시급8,720",56분전
대전 유성구,KFC 노은역,시간협의,"시급8,720",2시간전
경기 안양시,KFC 안양일번가,18:00~01:30,"시급8,720",2시간전
경기 성남시,정자역,17:00~01:00,"시급8,720",3시간전
경기 성남시,정자역,17:00~01:00,"시급8,720",4시간전
경기 성남시,정자역,17:00~01:00,"시급8,720",4시간전
경기 성남시,정자역,17:00~01:00,"시급8,720",4시간전
인천 미추홀,KFC 인하대,시간협의,"시급8,720",5시간전
대전 유성구,KFC 노은역,시간협의,"시급8,720",14시간전
경기 수원시,영통씨네마,18:00~24:00,"시급8,720",02/01
서울 도봉구,우이동,11:00~17:00,"시급8,720",02/01
대구 수성구,대구시지,17:00~23:30,"시급8,720",02/01
서울 중랑구,사가정,18:00~02:00,"시급8,720",01/31
전남 목포시,목포이마트,시간협의,"시급8,720",01/31
대구 서구,내당동,09:30~01:00,"시급8,720",01/31
충남 천안시,천안쌍용,09:30~23:00,"시급8,720",01/30
대전 유성구,KFC 유성온천,11:00~24:00,"시급8,720",01/30
서울 중랑구,사가정,18:00~02:00,"시급8,720",01/28
대구 달서구,대구용산,시간협의,"시급8,720",01/28
대구 달서구,대구용산,시간협의,"시급8,720",01/28
대구 달서구,대구용산,시간협의,"시급8,720",01/28
대구 달서구,대구용산,시간협의,"시급8,720",01/28
서울 관악구,서울대입구역,12:00~24:00,"시급8,720",01/28
경기 군포시,KFC 산본역,시간협의,"연봉2,360,000",01/28
경기 안산시,안산중앙,시간협의,"연봉23,600,000",01/28
서울 서초구,KFC 강남역점,17:00~23:30,"시급8,720",01/28
서울 중랑구,사가정,18:00~02:00,"시급8,720",01/28
전국 전체,하안동,시간협의,"연봉24,500,000",01/27
경기 고양시,KFC 행신역,17:00~24:00,"시급8,720",01/27
경기 고양시,KFC 행신역,시간협의,"시급8,720",01/27
서울 서초구,KFC 강남역점,시간협의,"시급8,720",01/27
서울 영등포,KFC 당산역,시간협의,"시급8,720",01/26
서울 영등포,KFC 당산역,시간협의,"시급8,720",01/26
서울 성북구,돈암동1,09:30~24:00,"시급8,720",01/25
서울 서초구,강남고속터미널,17:00~24:00,"시급8,720",01/25
서울 서초구,강남고속터미널,10:00~17:00,"시급8,720",01/25
서울 서초구,강남고속터미널,10:00~17:00,"시급8,720",01/21
